Word1;Word2;Model;Cosine;Manhattan;Euclidean;Jaccard
brother;sister;enwiki;0.5013775194156359;77.53470000000002;9.662167349513256;1.0
nephew;niece;enwiki;0.8244808528100637;16.612399999999997;2.056046283525738;1.0
uncle;aunt;enwiki;0.6837000629686217;67.15820000000002;8.666072687209589;1.0
man;woman;enwiki;0.7770538939137706;39.07110000000001;4.943081823113997;1.0
sir;madam;enwiki;0.4154731593082912;73.4806;9.004872282270304;1.0
heir;heiress;enwiki;0.7886566264841064;21.1697;2.805208660688185;1.0
king;queen;enwiki;0.47997914001820063;57.9532;7.281195366146963;1.0
earl;countess;enwiki;0.5603290255384811;55.0594;6.86182228711878;1.0
emperor;empress;enwiki;0.6633998331716263;46.9844;6.062616651248865;1.0
duke;duchess;enwiki;0.5584425818059364;57.3682;7.3168267602834485;1.0
slow;slower;enwiki;0.7666244004420647;20.1745;2.5470455178500444;1.0
short;shorter;enwiki;0.6602548047429401;21.407700000000002;2.6950340350355506;1.0
strong;stronger;enwiki;0.7606024073975337;16.783299999999997;2.1252437766054038;1.0
loud;louder;enwiki;0.7254324484562628;22.623099999999994;2.8373221406812443;1.0
clear;clearer;enwiki;0.7732623517366684;19.7636;2.3201899534305377;1.0
soft;softer;enwiki;0.7583629185186441;20.839000000000002;2.6084397903727816;1.0
dark;darker;enwiki;0.8129662292191588;20.4262;2.4837658303471364;1.0
brother;sister;glove;0.7432330364699377;31.960030100000004;3.934650882135213;1.0
nephew;niece;glove;0.8124580148461118;23.078947300000003;2.8347013799497205;1.0
uncle;aunt;glove;0.7587472916799074;27.222525110000003;3.4797650832308005;1.0
man;woman;glove;0.8323494204818742;24.308476800000005;3.3640678973733333;1.0
sir;madam;glove;0.12311982425316315;59.70192230000001;7.488877559144799;1.0
heir;heiress;glove;0.6525318055261677;38.768933399999995;4.744317601156502;1.0
king;queen;glove;0.7507690793623848;33.605676;4.281252149113388;1.0
earl;countess;glove;0.5966059608518873;41.8708615;5.15702300475296;1.0
emperor;empress;glove;0.7348716298184221;38.661580400000005;4.800728334054574;1.0
duke;duchess;glove;0.675223867962923;35.8173783;4.757431975772317;1.0
slow;slower;glove;0.7568021377580452;29.8407117;3.781984843606485;1.0
short;shorter;glove;0.7092921872457294;31.885368000000003;4.035776700760587;1.0
strong;stronger;glove;0.8151371757051953;25.867365799999998;3.355182739327553;1.0
loud;louder;glove;0.6634665974218207;38.52981319999999;4.685374835273495;1.0
clear;clearer;glove;0.490194936649625;40.049174179999994;5.159325648913223;1.0
soft;softer;glove;0.5713573041283505;38.99741467;4.828979684595066;1.0
dark;darker;glove;0.7261934425739118;31.668353159999995;4.240116525002658;1.0
brother;sister;gpt-2;0.9923454476411354;61.42563123271;9.197452396334972;1.0
nephew;niece;gpt-2;0.9944990081882428;58.83160066431999;8.628856008994685;1.0
uncle;aunt;gpt-2;0.9943582667086783;64.79569769433;7.180665071566173;1.0
man;woman;gpt-2;0.9973796882330815;49.4339345951;5.461489375466063;1.0
sir;madam;gpt-2;NA;NA;NA;NA
heir;heiress;gpt-2;NA;NA;NA;NA
king;queen;gpt-2;0.9986331278447729;50.370188121626;6.842997665355446;1.0
earl;countess;gpt-2;NA;NA;NA;NA
emperor;empress;gpt-2;NA;NA;NA;NA
duke;duchess;gpt-2;NA;NA;NA;NA
slow;slower;gpt-2;0.9808181994455756;91.21576424721;13.653346407827152;1.0
short;shorter;gpt-2;0.9738840654609483;100.88785741344;17.03023779227183;1.0
strong;stronger;gpt-2;0.9695349404783472;97.82987132155999;19.428955877732665;1.0
loud;louder;gpt-2;0.9864507693960106;72.02230072591;13.850454685250758;1.0
clear;clearer;gpt-2;0.9617566543518233;103.5477111408;20.921376275656296;1.0
soft;softer;gpt-2;0.9808288249616137;88.57741715655;14.398383664921312;1.0
dark;darker;gpt-2;0.9897732028536146;71.82238135016101;10.337191812180341;1.0
